"filename", "language", "C++", "JSON", "Dart", "Markdown", "YAML", "Swift", "HTML", "XML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"c:\Users\yosrh\fluttertrain\instagram_flutter\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\yosrh\fluttertrain\instagram_flutter\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 13, 74
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\main\kotlin\com\example\instagram_flutter\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\yosrh\fluttertrain\instagram_flutter\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\yosrh\fluttertrain\instagram_flutter\assets\ic_instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\yosrh\fluttertrain\instagram_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\main.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 84
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\models\user.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\providers\user_provider.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\responsive\mobile_screen_layout.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\responsive\responsive_layout_screen.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\responsive\web_screen_layout.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\ressources\auth_methods.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 97
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\ressources\storage_methods.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\screens\login_screen.dart", "Dart", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 160
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\screens\signup_screen.dart", "Dart", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 227
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\utils\colors.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\utils\dimensions.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\utils\utils.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\yosrh\fluttertrain\instagram_flutter\lib\widgets\text_field_input.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\yosrh\fluttertrain\instagram_flutter\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\yosrh\fluttertrain\instagram_flutter\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\yosrh\fluttertrain\instagram_flutter\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\yosrh\fluttertrain\instagram_flutter\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\yosrh\fluttertrain\instagram_flutter\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\yosrh\fluttertrain\instagram_flutter\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\yosrh\fluttertrain\instagram_flutter\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\yosrh\fluttertrain\instagram_flutter\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\yosrh\fluttertrain\instagram_flutter\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\yosrh\fluttertrain\instagram_flutter\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\yosrh\fluttertrain\instagram_flutter\pubspec.yaml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 51, 8, 84
"c:\Users\yosrh\fluttertrain\instagram_flutter\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\yosrh\fluttertrain\instagram_flutter\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 6, 59
"c:\Users\yosrh\fluttertrain\instagram_flutter\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 506, 287, 725, 13, 28, 56, 37, 470, 8, 92, 4, 298, 336, 2860